user_id,timestamp,last_three_pages_visited,past_purchase_amounts,mean_purchase,purchase
7270,2023-04-01 07:03:27.792588,products/cart/checkout,"[64, 47, 80]",63.666666666666664,0
860,2023-04-05 19:09:27.792588,products/cart/checkout,"[72, 9, 41]",40.666666666666664,0
5390,2023-04-04 02:25:27.792588,products/cart/home,"[76, 96, 35]",69.0,0
5191,2023-04-06 06:34:27.792588,checkout/products/cart,"[13, 55, 33]",33.666666666666664,0
5734,2023-04-04 08:21:27.792588,products/checkout/cart,"[82, 44, 45]",57.0,1
6265,2023-03-31 21:39:27.792588,checkout/products/home,"[90, 15, 27]",44.0,0
466,2023-04-04 07:44:27.792588,products/checkout/cart,"[5, 50, 25]",26.666666666666668,0
4426,2023-04-03 12:34:27.792588,products/checkout/cart,"[94, 40, 58]",64.0,0
5578,2023-03-30 23:38:27.792588,home/products/checkout,"[91, 61, 5]",52.333333333333336,0
8322,2023-04-01 16:24:27.792588,products/home/checkout,"[67, 58, 59]",61.333333333333336,1
1685,2023-04-02 03:31:27.792588,checkout/cart/products,"[44, 19, 25]",29.333333333333332,0
769,2023-04-01 06:16:27.792588,cart/products/home,"[51, 77, 57]",61.666666666666664,0
6949,2023-04-03 09:52:27.792588,cart/products/home,"[13, 78, 56]",49.0,0
2433,2023-04-04 10:39:27.792588,products/checkout/home,"[61, 30, 45]",45.333333333333336,0
5311,2023-04-03 00:19:27.792588,checkout/cart/home,"[39, 67, 29]",45.0,1
5051,2023-04-01 12:19:27.792588,home/checkout/products,"[94, 79, 42]",71.66666666666667,1
6420,2023-03-31 03:46:27.792588,products/checkout/cart,"[6, 11, 86]",34.333333333333336,0
1184,2023-04-04 04:58:27.792588,checkout/home/cart,"[95, 38, 95]",76.0,0
4555,2023-04-04 22:58:27.792588,cart/checkout/home,"[21, 47, 63]",43.666666666666664,0
3385,2023-03-31 00:16:27.792588,cart/products/checkout,"[55, 58, 28]",47.0,0
6396,2023-04-05 20:26:27.792588,products/cart/checkout,"[29, 75, 56]",53.333333333333336,0
8666,2023-03-31 14:39:27.792588,products/cart/checkout,"[74, 92, 37]",67.66666666666667,0
9274,2023-03-30 17:37:27.792588,home/cart/checkout,"[53, 33, 67]",51.0,0
2558,2023-04-03 20:09:27.792588,checkout/products/home,"[26, 30, 32]",29.333333333333332,0
7849,2023-04-05 03:25:27.792588,products/home/cart,"[89, 53, 75]",72.33333333333333,1
2047,2023-04-01 12:41:27.792588,checkout/cart/home,"[85, 88, 53]",75.33333333333333,1
